id,dim1,dim2,dim3,cid
1099,74,75,70,0
1100,80,71,66,0
1101,75,64,58,0
1102,41,30,26,0
1103,37,26,24,0
1104,30,18,18,0
1105,50,38,38,0
1106,30,22,19,0
1107,28,21,18,0
1108,26,21,18,0
1109,27,22,20,0
1110,28,24,23,0
1111,30,26,25,0
1112,29,28,26,0
1113,26,25,23,0
1114,23,22,20,0
1115,22,21,19,0
1116,22,21,19,0
1117,23,22,20,0
1118,21,20,18,0
1119,21,20,18,0
1120,21,20,18,0
1121,19,18,16,0
1122,19,18,16,0
1123,19,18,15,0
1124,19,18,14,0
1125,18,17,13,0
1126,18,17,13,0
1127,18,17,13,0
1128,19,18,14,0
1129,20,19,15,0
1130,20,19,15,0
1131,19,18,14,0
1132,18,17,13,0
1133,18,17,13,0
1134,17,16,12,0
1135,17,16,12,0
1136,17,16,12,0
1137,17,16,12,0
1138,17,16,12,0
1139,17,16,12,0
1140,17,16,12,0
1141,16,15,11,0
1142,15,14,10,0
1143,14,13,9,0
1144,14,13,9,0
1145,13,12,8,0
1146,13,12,8,0
1147,14,13,9,0
1148,14,13,9,0
1149,16,15,11,0
1150,17,16,12,0
1151,18,17,13,0
1152,16,15,11,0
1153,22,22,20,0
1154,20,20,18,0
1155,20,20,18,0
1156,23,23,21,0
1157,25,26,23,0
1158,25,25,23,0
1159,22,24,21,0
1160,23,25,22,0
1161,23,25,22,0
1162,22,24,21,0
1163,21,23,20,0
1164,21,23,20,0
1165,29,30,24,0
1166,25,26,21,0
1167,20,21,15,0
1168,19,20,14,0
1169,20,21,15,0
1170,23,24,20,0
1171,25,27,24,0
1172,24,26,23,0
1173,24,26,23,0
1174,26,28,25,0
1175,29,30,28,0
1176,24,26,23,0
1177,23,25,22,0
1178,24,26,23,0
1179,25,27,24,0
1180,22,24,21,0
1181,20,22,19,0
1182,21,22,19,0
1183,21,23,20,0
1184,23,24,21,0
1185,23,24,21,0
1186,21,23,20,0
1187,21,22,19,0
1188,24,26,23,0
1189,22,24,21,0
1190,21,22,20,0
1191,22,23,21,0
1192,24,26,23,0
1193,25,27,24,0
1194,24,26,23,0
1195,24,26,23,0
1196,23,25,22,0
1197,23,25,22,0
1198,23,25,22,0
1199,23,25,22,0
1200,23,25,22,0
1201,24,26,23,0
1202,24,26,23,0
1203,24,26,23,0
1204,24,26,23,0
1205,23,25,18,0
1206,27,28,21,0
1207,28,27,17,0
1208,27,24,12,0
1209,43,38,24,0
1210,50,45,28,0
1211,95,87,82,2
1212,112,101,101,2
1213,96,88,91,2
1214,105,98,102,2
1215,127,122,121,2
1216,120,115,111,2
1217,142,134,124,2
1218,105,95,84,2
1219,104,92,78,2
1220,117,102,86,2
1221,131,115,97,2
1222,176,161,146,2
1223,123,113,103,2
1224,96,89,81,2
1225,113,108,105,2
1226,89,87,89,2
1227,75,75,80,0
1228,105,98,97,2
1229,87,78,75,0
1230,51,42,39,0
1231,33,23,21,0
1232,26,15,14,0
1233,43,32,30,0
1234,29,19,11,0
1235,42,33,25,0
1236,23,18,9,0
1237,24,22,11,0
1238,24,26,15,0
1239,21,25,13,0
1240,28,30,21,0
1241,22,24,16,0
1242,19,21,14,0
1243,22,24,18,0
1244,23,25,20,0
1245,22,23,19,0
1246,20,21,16,0
1247,20,21,16,0
1248,19,20,16,0
1249,19,19,17,0
1250,19,19,17,0
1251,19,18,16,0
1252,20,19,17,0
1253,21,20,17,0
1254,22,21,18,0
1255,20,19,17,0
1256,19,18,16,0
1257,20,19,16,0
1258,20,19,17,0
1259,20,19,17,0
1260,20,19,17,0
1261,20,19,16,0
1262,20,19,16,0
1263,18,17,13,0
1264,17,16,12,0
1265,17,16,12,0
1266,16,15,11,0
1267,16,15,11,0
1268,15,14,10,0
1269,14,13,9,0
1270,15,14,10,0
1271,15,14,10,0
1272,16,15,11,0
1273,17,16,12,0
1274,15,15,10,0
